Dataset,OpenML_ID,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean,Generated_Samples,Resample_Time_s
Mfeat-fourier,971,DT,CTGAN,Deep Tabular,--,0.9475 ± 0.0383,0.9550 ± 0.0512,0.9086 ± 0.0420,0.9739 ± 0.0252,1280.0000 ± 0.0000,25.1383 ± 4.3373
Mfeat-fourier,971,LightGBM,CTGAN,Deep Tabular,--,0.9949 ± 0.0114,0.9800 ± 0.0209,0.9985 ± 0.0033,0.9896 ± 0.0111,1280.0000 ± 0.0000,25.1383 ± 4.3373
Mfeat-fourier,971,RF,CTGAN,Deep Tabular,--,1.0000 ± 0.0000,0.9750 ± 0.0177,0.9987 ± 0.0018,0.9874 ± 0.0089,1280.0000 ± 0.0000,25.1383 ± 4.3373
Mfeat-fourier,971,DT,TVAE,Deep Tabular,--,0.9519 ± 0.0310,0.9550 ± 0.0371,0.9128 ± 0.0187,0.9743 ± 0.0174,1280.0000 ± 0.0000,15.2085 ± 0.3198
Mfeat-fourier,971,LightGBM,TVAE,Deep Tabular,--,0.9949 ± 0.0114,0.9850 ± 0.0224,0.9952 ± 0.0098,0.9921 ± 0.0119,1280.0000 ± 0.0000,15.2085 ± 0.3198
Mfeat-fourier,971,RF,TVAE,Deep Tabular,--,1.0000 ± 0.0000,0.9700 ± 0.0209,0.9997 ± 0.0008,0.9848 ± 0.0106,1280.0000 ± 0.0000,15.2085 ± 0.3198
Mfeat-karhunen,1020,DT,CTGAN,Deep Tabular,--,0.7498 ± 0.0564,0.8400 ± 0.0840,0.6487 ± 0.0936,0.9012 ± 0.0480,1280.0000 ± 0.0000,19.8632 ± 0.8106
Mfeat-karhunen,1020,LightGBM,CTGAN,Deep Tabular,--,0.9786 ± 0.0218,0.9200 ± 0.0737,0.9802 ± 0.0169,0.9575 ± 0.0394,1280.0000 ± 0.0000,19.8632 ± 0.8106
Mfeat-karhunen,1020,RF,CTGAN,Deep Tabular,--,0.9892 ± 0.0148,0.8700 ± 0.0818,0.9848 ± 0.0083,0.9314 ± 0.0451,1280.0000 ± 0.0000,19.8632 ± 0.8106
Mfeat-karhunen,1020,DT,TVAE,Deep Tabular,--,0.8538 ± 0.0368,0.8350 ± 0.0627,0.7291 ± 0.0526,0.9058 ± 0.0329,1280.0000 ± 0.0000,13.9718 ± 0.3901
Mfeat-karhunen,1020,LightGBM,TVAE,Deep Tabular,--,0.9895 ± 0.0144,0.9350 ± 0.0418,0.9903 ± 0.0097,0.9662 ± 0.0216,1280.0000 ± 0.0000,13.9718 ± 0.3901
Mfeat-karhunen,1020,RF,TVAE,Deep Tabular,--,0.9875 ± 0.0172,0.8450 ± 0.0925,0.9899 ± 0.0074,0.9176 ± 0.0517,1280.0000 ± 0.0000,13.9718 ± 0.3901
Optdigits,980,DT,CTGAN,Deep Tabular,--,0.8584 ± 0.0280,0.8969 ± 0.0415,0.7806 ± 0.0435,0.9388 ± 0.0219,3580.8000 ± 1.0954,20.2542 ± 0.4814
Optdigits,980,LightGBM,CTGAN,Deep Tabular,--,0.9891 ± 0.0075,0.9493 ± 0.0242,0.9943 ± 0.0023,0.9737 ± 0.0124,3580.8000 ± 1.0954,20.2542 ± 0.4814
Optdigits,980,RF,CTGAN,Deep Tabular,--,0.9923 ± 0.0043,0.8987 ± 0.0466,0.9889 ± 0.0046,0.9474 ± 0.0246,3580.8000 ± 1.0954,20.2542 ± 0.4814
Optdigits,980,DT,TVAE,Deep Tabular,--,0.9074 ± 0.0120,0.8689 ± 0.0299,0.8015 ± 0.0149,0.9273 ± 0.0152,3580.8000 ± 1.0954,13.5810 ± 0.5741
Optdigits,980,LightGBM,TVAE,Deep Tabular,--,0.9872 ± 0.0049,0.9406 ± 0.0235,0.9948 ± 0.0023,0.9691 ± 0.0120,3580.8000 ± 1.0954,13.5810 ± 0.5741
Optdigits,980,RF,TVAE,Deep Tabular,--,1.0000 ± 0.0000,0.8776 ± 0.0205,0.9923 ± 0.0023,0.9368 ± 0.0109,3580.8000 ± 1.0954,13.5810 ± 0.5741
Satellite,40900,DT,CTGAN,Deep Tabular,--,0.6325 ± 0.1176,0.6667 ± 0.1054,0.4226 ± 0.0754,0.8118 ± 0.0636,3960.0000 ± 0.0000,10.1135 ± 0.5958
Satellite,40900,LightGBM,CTGAN,Deep Tabular,--,0.8763 ± 0.0376,0.7200 ± 0.1789,0.8464 ± 0.0667,0.8424 ± 0.1067,3960.0000 ± 0.0000,10.1135 ± 0.5958
Satellite,40900,RF,CTGAN,Deep Tabular,--,0.8332 ± 0.0355,0.7067 ± 0.1383,0.8437 ± 0.0630,0.8364 ± 0.0830,3960.0000 ± 0.0000,10.1135 ± 0.5958
Satellite,40900,DT,TVAE,Deep Tabular,--,0.5149 ± 0.0763,0.6800 ± 0.1445,0.3618 ± 0.1309,0.8173 ± 0.0828,3960.0000 ± 0.0000,5.3939 ± 0.9680
Satellite,40900,LightGBM,TVAE,Deep Tabular,--,0.8496 ± 0.1241,0.7200 ± 0.1366,0.8136 ± 0.0580,0.8445 ± 0.0776,3960.0000 ± 0.0000,5.3939 ± 0.9680
Satellite,40900,RF,TVAE,Deep Tabular,--,0.7848 ± 0.1580,0.6800 ± 0.1193,0.7979 ± 0.0713,0.8206 ± 0.0719,3960.0000 ± 0.0000,5.3939 ± 0.9680
